Giorno,Visite ,Visitatori unici ,Tasso di conversione,Tempo medio di visita (secondi),Visite/pagina ,Bounce Rate
1 set 2023,132748158,85139785,,771,5.0312,"43,4%"
2 set 2023,124691112,79969980,,760,4.9156,"44,23%"
3 set 2023,127416194,81970226,,761,5.0136,"43,71%"
4 set 2023,137824781,86994194,,824,5.2526,"43,68%"
5 set 2023,139936370,88006739,,803,5.3312,"42,5%"
6 set 2023,134892011,85997140,,760,5.2536,"43,11%"
7 set 2023,129422261,82893917,,773,5.1317,"42,84%"
8 set 2023,126001356,81658363,,779,5.0883,"43,55%"
9 set 2023,121017459,78804492,,766,4.9159,"45,13%"
10 set 2023,124979538,81554179,,782,5.1943,"43,75%"
11 set 2023,131247882,84683598,,806,5.2898,"42,56%"
12 set 2023,129074397,81790910,,791,5.3157,"42,21%"
13 set 2023,132980413,85107904,,788,4.9471,"44,93%"
14 set 2023,133262314,85551317,,798,4.9408,"44,8%"
15 set 2023,128592948,84091062,,756,4.8887,"43,45%"
16 set 2023,122311595,79311600,,766,4.9578,"44,87%"
17 set 2023,122111403,79790942,,744,5.0491,"44,01%"
18 set 2023,139529038,89723289,,793,5.1748,"43,96%"
19 set 2023,136252898,87288172,,777,5.0198,"43,8%"
20 set 2023,134892011,85997140,,760,5.2536,"43,11%"
21 set 2023,136689186,88439489,,803,5.1427,"44,28%"
22 set 2023,131421758,83996226,,777,5.1526,"43,78%"
23 set 2023,122276754,80364987,,774,5.1569,"44,57%"
24 set 2023,121012113,80093128,,781,5.0225,"45,08%"
25 set 2023,133368603,85553942,,790,5.2594,"42,35%"
26 set 2023,138915645,87971442,,763,5.1478,"42,14%"
27 set 2023,135302542,86012847,,804,5.1425,"43,41%"
28 set 2023,135971114,85666829,,773,5.1015,"42,5%"
29 set 2023,132574568,84858012,,752,5.0945,"43,16%"
30 set 2023,122276754,80364987,,774,5.1569,"44,57%"
